"id","study","condition","confidence.rating","replication.belief","replication.outcomes","replication.effectsizes","brier.score"
1,1,"DescriptionOnly",0.30000001,0,0,0.062703826,0.256190476666667
1,2,"DescriptionOnly",0.1,0,1,0.82887018,0.256190476666667
1,3,"DescriptionOnly",0.60000002,1,1,0.14641742,0.256190476666667
1,4,"DescriptionOnly",0.60000002,1,1,0.36050302,0.256190476666667
1,5,"DescriptionOnly",0.5,0,1,0.43645984,0.256190476666667
1,6,"DescriptionOnly",0.64999998,1,0,-0.035470117,0.256190476666667
1,7,"DescriptionOnly",0.64999998,1,1,0.18233825,0.256190476666667
1,8,"DescriptionOnly",0.5,0,1,0.83205014,0.256190476666667
1,9,"DescriptionOnly",0.75,1,1,0.34381703,0.256190476666667
1,10,"DescriptionOnly",0.64999998,1,1,0.38413259,0.256190476666667
1,11,"DescriptionOnly",0.40000001,0,0,-0.027254447,0.256190476666667
1,12,"DescriptionOnly",0.5,0,1,0.58620399,0.256190476666667
1,13,"DescriptionOnly",0.40000001,0,0,-0.046322692,0.256190476666667
1,14,"DescriptionOnly",0.60000002,1,1,0.3546918,0.256190476666667
1,15,"DescriptionOnly",0.69999999,1,1,0.11604169,0.256190476666667
1,16,"DescriptionOnly",0.5,0,1,0.14973016,0.256190476666667
1,17,"DescriptionOnly",0.5,0,0,-0.09818399,0.256190476666667
1,18,"DescriptionOnly",0.80000001,1,0,0.025786534,0.256190476666667
1,19,"DescriptionOnly",0.60000002,1,0,-0.01500574,0.256190476666667
1,20,"DescriptionOnly",0.5,0,0,0.049590591,0.256190476666667
1,21,"DescriptionOnly",0.40000001,0,1,0.5935989,0.256190476666667
2,1,"DescriptionPlusStatistics",0,0,0,0.062703826,0.250595238285714
2,2,"DescriptionPlusStatistics",0.75,1,1,0.82887018,0.250595238285714
2,3,"DescriptionPlusStatistics",0.80000001,1,1,0.14641742,0.250595238285714
2,4,"DescriptionPlusStatistics",0.69999999,1,1,0.36050302,0.250595238285714
2,5,"DescriptionPlusStatistics",0.40000001,0,1,0.43645984,0.250595238285714
2,6,"DescriptionPlusStatistics",0.60000002,1,0,-0.035470117,0.250595238285714
2,7,"DescriptionPlusStatistics",0.80000001,1,1,0.18233825,0.250595238285714
2,8,"DescriptionPlusStatistics",0.80000001,1,1,0.83205014,0.250595238285714
2,9,"DescriptionPlusStatistics",0.2,0,1,0.34381703,0.250595238285714
2,10,"DescriptionPlusStatistics",0.60000002,1,1,0.38413259,0.250595238285714
2,11,"DescriptionPlusStatistics",0.69999999,1,0,-0.027254447,0.250595238285714
2,12,"DescriptionPlusStatistics",0.5,0,1,0.58620399,0.250595238285714
2,13,"DescriptionPlusStatistics",0.1,0,0,-0.046322692,0.250595238285714
2,14,"DescriptionPlusStatistics",0.1,0,1,0.3546918,0.250595238285714
2,15,"DescriptionPlusStatistics",0.5,0,1,0.11604169,0.250595238285714
2,16,"DescriptionPlusStatistics",0.30000001,0,1,0.14973016,0.250595238285714
2,17,"DescriptionPlusStatistics",0,0,0,-0.09818399,0.250595238285714
2,18,"DescriptionPlusStatistics",0.30000001,0,0,0.025786534,0.250595238285714
2,19,"DescriptionPlusStatistics",0.60000002,1,0,-0.01500574,0.250595238285714
2,20,"DescriptionPlusStatistics",0.60000002,1,0,0.049590591,0.250595238285714
