"condition","id","brier.score"
"DescriptionOnly",1,0.256190476666667
"DescriptionPlusStatistics",2,0.250595238285714
"DescriptionOnly",3,0.233214286380953
"DescriptionPlusStatistics",4,0.399199994840953
"DescriptionOnly",5,0.291242853276191
"DescriptionPlusStatistics",6,0.166071426047619
"DescriptionOnly",7,0.223299996457143
"DescriptionPlusStatistics",8,0.14761904752381
"DescriptionOnly",9,0.166071426666667
"DescriptionPlusStatistics",10,0.484495237084571
"DescriptionOnly",11,0.218099998942857
"DescriptionPlusStatistics",12,0.265238094385714
"DescriptionOnly",13,0.180161906352381
"DescriptionPlusStatistics",14,0.21666666712381
"DescriptionOnly",15,0.151666662476191
"DescriptionPlusStatistics",16,0.21190476212381
"DescriptionOnly",17,0.210852379285714
"DescriptionPlusStatistics",18,0.170119047809524
"DescriptionOnly",19,0.169880952004762
"DescriptionPlusStatistics",20,0.2306000009
"DescriptionOnly",21,0.231223809247238
"DescriptionPlusStatistics",22,0.156190476857143
"DescriptionOnly",23,0.173995241657143
"DescriptionPlusStatistics",24,0.217023813619048
"DescriptionOnly",25,0.210714286957143
"DescriptionPlusStatistics",26,0.239166665904762
"DescriptionOnly",27,0.330952377238095
"DescriptionPlusStatistics",28,0.240238094809524
"DescriptionOnly",29,0.2115428596
"DescriptionPlusStatistics",30,0.151904763285714
"DescriptionOnly",31,0.254642861809524
"DescriptionPlusStatistics",32,0.208452380285714
"DescriptionOnly",33,0.355061904197143
"DescriptionPlusStatistics",34,0.2796428561
"DescriptionOnly",35,0.265595236047619
"DescriptionPlusStatistics",36,0.165119045242857
"DescriptionOnly",37,0.155833331019048
"DescriptionPlusStatistics",38,0.201666668571429
"DescriptionOnly",39,0.235671430390476
"DescriptionPlusStatistics",40,0.129761905680953
"DescriptionOnly",41,0.125952380190476
"DescriptionPlusStatistics",42,0.155895240276191
"DescriptionOnly",43,0.296190474857143
"DescriptionPlusStatistics",44,0.236071430509524
"DescriptionOnly",45,0.129285714238095
"DescriptionPlusStatistics",46,0.293271424380953
"DescriptionOnly",47,0.193528569961905
"DescriptionPlusStatistics",48,0.279047618980952
"DescriptionOnly",49,0.404285714476191
"DescriptionPlusStatistics",50,0.22536666322381
"DescriptionOnly",51,0.172142857095238
"DescriptionPlusStatistics",52,0.15392857352381
"DescriptionOnly",53,0.305476188961905
"DescriptionPlusStatistics",54,0.363809523904762
"DescriptionOnly",55,0.337442857475238
"DescriptionPlusStatistics",56,0.243809521857143
"DescriptionOnly",57,0.166071428290476
"DescriptionPlusStatistics",58,0.172023811857143
"DescriptionOnly",59,0.245361903966476
"DescriptionPlusStatistics",60,0.313571422476191
"DescriptionOnly",61,0.192738091904762
"DescriptionPlusStatistics",62,0.179199997542857
"DescriptionOnly",63,0.209999998
"DescriptionPlusStatistics",64,0.297999997890286
"DescriptionOnly",65,0.146438091742857
"DescriptionPlusStatistics",66,0.258452376385714
"DescriptionOnly",67,0.230571426476191
"DescriptionPlusStatistics",68,0.161904763714286
"DescriptionOnly",69,0.260461905262857
"DescriptionPlusStatistics",70,0.335119044509524
"DescriptionOnly",71,0.204880950880952
"DescriptionPlusStatistics",72,0.332114287175238
"DescriptionOnly",73,0.171547621761905
"DescriptionPlusStatistics",74,0.216733331763619
"DescriptionOnly",75,0.144766666895238
"DescriptionPlusStatistics",76,0.317671422870476
"DescriptionOnly",77,0.226190479619048
"DescriptionPlusStatistics",78,0.189999994857143
"DescriptionOnly",79,0.11829047458
"DescriptionPlusStatistics",80,0.244628568384762
"DescriptionOnly",81,0.169166665428572
"DescriptionPlusStatistics",82,0.23476190552381
"DescriptionOnly",83,0.101428569152381
"DescriptionPlusStatistics",84,0.305247617394857
"DescriptionOnly",85,0.185900003514286
"DescriptionPlusStatistics",86,0.226309530666667
"DescriptionOnly",87,0.182738096809524
"DescriptionPlusStatistics",88,0.207857142761905
"DescriptionOnly",89,0.266428562952381
"DescriptionPlusStatistics",90,0.202499998047619
"DescriptionOnly",91,0.231428567714286
"DescriptionPlusStatistics",92,0.201323807713714
"DescriptionOnly",93,0.152976185714286
"DescriptionPlusStatistics",94,0.396904760671429
"DescriptionOnly",95,0.314028570152381
"DescriptionPlusStatistics",96,0.153809524666667
"DescriptionOnly",97,0.164761908380953
"DescriptionPlusStatistics",98,0.200776190961905
"DescriptionOnly",99,0.174523808476191
"DescriptionPlusStatistics",100,0.172857143666667
