Study number,Study,StudyID,Research question,How was it measured?,What was found?,OS Bayes factor,OS Evidence interpretation ,RS effect size (correlation coefficient),RS outcome,correct answer ,Project_name,Bayes Factor Cutoff 10 Prediction,Bayes Factor Cutoff 10 Prediction Outcome
1,Aviezer et al. (2012),Aviezer2012,Can people distinguish between positive and negative emotions based on the body alone? ,"Participants looked at images of athletes that either just scored or just lost a point in a competition. Without seeing any facial expressions, they then judged whether the image depicted a positive or negative emotion.","Participants correctly recognized the underlying emotions based on the image of the body alone. That is, they rated the images of winning athletes as more positive then the images of losing athletes.",3800000,extreme,0.829,1,1,SSRP,will replicate,1
2,Balafoutas & Sutter (2012),Balafoutas2012,Does preferential treatment encourage women to enter competition with others?,"In a game, male and female participants chose whether they wanted to compete against each other, or whether they wanted to get judged based on their individual performance. In one group, women received a preferential treatment if they entered the competition, that is, one point was automatically added to their score. In the other group, women did not receive a preferential treatment.","If women received a preferential treatment, then they would choose to enter a competition with others more often.",4.6,moderate,0.146,1,1,SSRP,wont replicate,0
3,Derex et al. (2013),Derex2013,Are bigger groups characterized by more cultural diversity?,"A computer game was set up to be a multiplayer game, consisting of either 2, 4, 8, or 16 players. In this game the players had to collect points by either building arrowheads (a simple task), or building fishing nets (a difficult task).","The more players were playing the game, the more likely it was that they increased the cultural diversity within the game (i.e., by building both items).",21111,extreme,0.361,1,1,SSRP,will replicate,1
4,Duncan et al. (2012),Duncan2012,Does the detection of new objects improve people's ability to detect subtle changes in similar objects?,"Participants looked at a series of object images. Afterwards, they had to look again at a series of objects and judged whether they were 'old' (seen before), 'new', or 'similar' (looked like something seen before, but not the same).","If 'new' objects were shown before 'similar' objects, then more participants recognized the 'similar' objects correctly.",11.4,strong,0.436,1,1,SSRP,will replicate,1
5,Gervais & Norenzayan (2012),Gervais2012,Does analytic thinking trigger religious disbelief?,"Participants looked at an image. One group looked at an image of ""The Thinker'', that is a sculpture of a person in a thinking position. The other group looked at an image which depicted a sculpture of a discus thrower. Afterwards, they answered questions about their religiosity.","Participants who had seen ""The Thinker'' reported lower religious belief compared to people who had seen the sculpture of a discus thrower.",2.1,weak,-0.035,0,2,SSRP,wont replicate,1
6,Gneezy et al. (2014),Gneezy2014,Do people avoid charities that dedicate a high percentage of donations to administrative and fundraising costs?,"People chose between donating to either a drinking water charity, or a volunteering charity. One group was told that 50% of the donations to the water charity were used to cover administrative and fundraising costs. The other group was told that all costs for the water charity were already covered.","If administrative and fundraising costs were covered, people were more likely to donate to the water charity than to the volunteering charity, compared to when the costs were not covered.",11.9,strong,0.182,1,1,SSRP,will replicate,1
7,Hauser et al. (2014),Hauser2014,Do people preserve common resources for future generations if they make collective decisions?,"In a game, participants chose how many resources they would extract from a pool, and how many they wanted to preserve for future game players. In one group, each participant made their own decision on how many resources they want to extract from the pool. In the other group, participants voted for the combined amount of resources they would extract.","If people had to vote on the combined amount of resources they would extract from the pool, more resources were preserved for future generations of game players.",44290000,extreme,0.832,1,1,SSRP,will replicate,1
8,Bauer et al. (2012),Bauer2012,"Do people with a ""materialism mindset"" trust others less?","Participants read a dilemma about distributing resources related to water conservation. In one group, other parties involved in the water conservation problem were referred to as ""consumers"". In the other group, these parties were referred to as ""individuals"". Afterwards, participants had to report their trust towards the other parties involved in the water conservation problem.","If other parties involved in the water conservation problem were referred to as 'consumers', participants trusted these parties less.",105,extreme,0.066,1,1,ManyLabs2,will replicate,1
9,Critcher & Gilovich (2008),Critcher2008,Are people's estimations of numbers influenced by unrelated numbers that are incidentally present in the environment?,"Participants read a description about a new cell phone. In one group, the cell phone was called P17. In the other group, the cell phone was called P97. Afterwards, participants predicted its proportion of sales.","If the cell phone was called P97, participants predicted a higher proportion of sales.",1.2,weak,0.028,0,2,ManyLabs2,wont replicate,1
10,Karpicke & Blunt (2011),Karpicke2011,Is the learning strategy 'retrieval practice' more efficient than the learning strategy 'concept mapping'?,"Participants studied a science text using a certain learning strategy. In one group, participants used the learning strategy 'retrieval practice', which consists of learning - testing - learning. In the other group, participants used the learning strategy 'concept-mapping', in which participants create a diagram with nodes and links to connect different concepts. One week later participants were tested on this text.","If participants used the learning strategy 'retrieval practice', they performed better on a memory test.",484,extreme,0.384,1,1,SSRP,will replicate,1
